"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"https://github.com/refdiff-study/darknet/commit/8c5364f58569eaeb5582a4915b36b24fc5570c76","MOVE_RENAME_FUNCTION","src/swag.c:validate_swag_recall","src/yolo.c:validate_yolo_recall","TP","TP",True,59,558,""
"https://github.com/refdiff-study/toxcore/commit/c50781a2b7d0ab56acb31b8f79df2e69f9f74b8b","RENAME_FILE","other/bootstrap_daemon/src/logger.c:logger.c","other/bootstrap_daemon/src/log.c:log.c","TP","TP",True,60,1001,""
"https://github.com/refdiff-study/emscripten/commit/b5313f6504c6b34f283fbd2d3a1d18561d0e9fce","RENAME_FILE","system/include/libcxx/support/win32/limits_win32.h:limits_win32.h","system/include/libcxx/support/win32/limits_msvc_win32.h:limits_msvc_win32.h","TP","TP",True,61,1018,""
"https://github.com/refdiff-study/git/commit/e233bef43e4a73ec183eb927ab4803aefc77bab9","RENAME_FILE","unicode_width.h:unicode_width.h","unicode-width.h:unicode-width.h","TP","TP",True,62,1021,""
"https://github.com/refdiff-study/ijkplayer/commit/c504b6c753604ab25f78634ec486be13d8aedaae","RENAME_FILE","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:IIjkIOHttp.c","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:IAndroidIO.c","TP","TP",True,63,985,""
"https://github.com/refdiff-study/darknet/commit/afb8b4f98bab53e85f2e5a3e7b3d11f0c9207ec7","RENAME_FILE","src/coco_demo.c:coco_demo.c","src/demo.c:demo.c","TP","TP",True,64,1022,""
"https://github.com/refdiff-study/git/commit/d807c4a01db2b06db047fc6d5d18ac25c8f05bd7","RENAME_FILE","exec_cmd.c:exec_cmd.c","exec-cmd.c:exec-cmd.c","TP","TP",True,65,1028,""
"https://github.com/refdiff-study/redis/commit/08e1c8e820031751bd58736cc334dda1bc55cb5c","RENAME_FILE","deps/jemalloc/src/util.c:util.c","deps/jemalloc/src/malloc_io.c:malloc_io.c","TP","TP",True,66,441,""
"https://github.com/refdiff-study/git/commit/fc1395f4a491a7da46a446233531005634eb979d","RENAME_FILE","sha1_file.c:sha1_file.c","sha1-file.c:sha1-file.c","TP","TP",True,67,1030,""
"https://github.com/refdiff-study/swoole-src/commit/f733c9a32045d115ba65b24d5b9c430a993706b6","RENAME_FILE","swoole_postgresql_core.h:swoole_postgresql_core.h","swoole_postgresql_coro.h:swoole_postgresql_coro.h","TP","TP",True,68,1031,""
"https://github.com/refdiff-study/toxcore/commit/edbfca5474b59b865e383e0dae934ba293d9dc7d","RENAME_FILE","toxav/bwcontroler.c:bwcontroler.c","toxav/bwcontroller.c:bwcontroller.c","TP","TP",True,69,1040,""
"https://github.com/refdiff-study/swoole-src/commit/27958d8982464e3a9f112f532af4b405c34aaffc","RENAME_FUNCTION","src/network/Server.c:swServer_call_hook_func","src/network/Server.c:swServer_call_hook","TP","TP",True,70,1056,""
"https://github.com/refdiff-study/toxcore/commit/8286c2c22fc110dcc58c981eb39dd7bf46ae8aa9","RENAME_FUNCTION","toxcore/tox.c:tox_save_size","toxcore/tox.c:tox_get_savedata_size","TP","FN",False,71,"",""
"https://github.com/refdiff-study/git/commit/226c0ddd0d63dd6c8dde497c755af2ad1f02e0c1","RENAME_FUNCTION","exec_cmd.c:git_extract_argv0_path","exec_cmd.c:git_resolve_executable_dir","TP","FN",False,72,"",""
"https://github.com/refdiff-study/darknet/commit/c53e03348c65462bcba33f6352087dd6b9268e8f","RENAME_FUNCTION","src/yoloplus.c:train_yoloplus","src/swag.c:train_swag","TP","TP",True,73,1066,""
"https://github.com/refdiff-study/linux/commit/267d2e18a281c965229a3c3ccce51c471f9c4f8a","RENAME_FUNCTION","arch/nds32/kernel/dma.c:nds32_dma_free","arch/nds32/kernel/dma.c:arch_dma_free","TP","TP",True,74,1070,""
"https://github.com/refdiff-study/toxcore/commit/2465f486acd90ed8395c8a83a13af09ecd024c98","RENAME_FUNCTION","toxav/rtp.c:extract_header","toxav/rtp.c:parse_header_in","TP","TP",True,75,964,""
"https://github.com/refdiff-study/redis/commit/3fce4301ec54e173c811a8e08c320d9ef86c4de2","RENAME_FUNCTION","src/redis-cli.c:clusterManagerShowInfo","src/redis-cli.c:clusterManagerShowClusterInfo","TP","TP",True,76,1074,""
"https://github.com/refdiff-study/jq/commit/6366cfd7a4275a25e128cc55f4c24a4079bc7005","RENAME_FUNCTION","libm.h:LIBM_DD","libm.h:LIBM_DD_NO","FP","TN",False,77,"",""
"https://github.com/refdiff-study/linux/commit/4bac2bcd839605baf22e4c8b29e4e52156883e45","RENAME_FUNCTION","net/nfc/llcp_sock.c:llcp_sock_poll","net/nfc/llcp_sock.c:llcp_sock_poll_mask","TP","TP",True,78,1075,""
"https://github.com/refdiff-study/jq/commit/ae7f8d6ab9d29bd72f462fdafa4d7a9270706d3b","RENAME_FUNCTION","linker.c:name2relpath","linker.c:validate_relpath","TP","TP",True,79,1077,""
