"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"b101793c431b858e49b909bb309a87145fb7348c","MOVE_FUNCTION","builtin/am.c:index_has_changes","merge.c:index_has_changes","Yes","TP",False,49,210,""
"af04aa856e932876e11e0c6d21d82281824e1b11","MOVE_RENAME_FILE","arch/arm/plat-omap/dmtimer.c","drivers/clocksource/timer-ti-dm.c","Yes","TP",False,50,211,""
"ae904beaea48d369205c81dbffecc23afcec46de","MOVE_RENAME_FILE","drivers/net/ethernet/mellanox/mlx5/core/en_clock.c","drivers/net/ethernet/mellanox/mlx5/core/lib/clock.c","Yes","TP",False,51,212,""
"03571e11c4a6d08230657f80970f0a5cc7820471","MOVE_RENAME_FILE","drivers/pci/msi-apic.c","arch/ia64/kernel/msi_ia64.c","Yes","TP",False,52,213,""
"66d857b08b8c3ed5c72c361f863cce77d2a978d7","MOVE_RENAME_FILE","arch/m68knommu/kernel/asm-offsets.c","arch/m68k/kernel/asm-offsets_no.c","Yes","TP",False,53,216,""
"c582778900425d0cf2a5687a84b0125fee797d32","MOVE_RENAME_FILE","drivers/gpu/drm/i2c/adv7511.c","drivers/gpu/drm/bridge/adv7511/adv7511_drv.c","Yes","TP",False,54,471,""
"33692dc381f9b89ddfc408631bf670ac2fd08ffc","MOVE_RENAME_FILE","drivers/base/power/opp.c","drivers/base/power/opp/core.c","Yes","TP",False,55,473,""
"e30b2aae5ad93405eee19bca6125ea872f409c82","MOVE_RENAME_FILE","TSRM/tsrm_virtual_cwd.h","Zend/zend_virtual_cwd.h","Yes","TP",False,56,476,""
"a88b5ba8bd8ac18aad65ee6c6a254e2e74876db3","MOVE_RENAME_FILE","arch/sparc64/kernel/auxio.c","arch/sparc/kernel/auxio_64.c","Yes","TP",False,57,516,""
"1023fdc4858b6b8cb88ff28cafd425b77555be9f","MOVE_RENAME_FILE","drivers/net/wireless/iwlwifi/iwl-eeprom.h","drivers/net/wireless/iwlwifi/dvm/eeprom.h","Yes","TP",False,58,554,""
"99ae3edf28fd5c848e886e41ac3f4bd40538e24d","MOVE_RENAME_FILE","include/uv-bsd.h","include/uv/bsd.h","Yes","TP",False,59,579,""
"591a6933da7140693fba8df958355b1929c81e4a","MOVE_RENAME_FUNCTION","lib/url.c:Curl_addHandleToPipeline","lib/pipeline.c:addHandleToPipeline","Yes","TP",False,60,581,""
"d0cabbb021bee5c4b831a0235af9534ad07f8d3d","MOVE_RENAME_FUNCTION","tools/testing/selftests/bpf/trace_helpers.c:perf_event_read","tools/lib/bpf/libbpf.c:bpf_perf_event_read_simple","Yes","FN",False,61,"",""
"fd311f1e7548cf45a273d46aa9c9c8d8330d803c","MOVE_RENAME_FUNCTION","drivers/net/ethernet/cavium/liquidio/lio_vf_main.c:delete_glists","drivers/net/ethernet/cavium/liquidio/lio_core.c:lio_delete_glists","Yes","FN",False,62,"",""
"85a0cd81863469484f22a9b69c7f4440989d32b8","MOVE_RENAME_FUNCTION","drivers/net/ethernet/cavium/liquidio/lio_main.c:lio_list_delete_head","drivers/net/ethernet/cavium/liquidio/octeon_network.h:lio_list_delete_head","Yes","FN",False,63,"",""
"13f71050c10df77c1b9f2808c410d68dfcdb26b4","MOVE_RENAME_FUNCTION","drivers/net/wireless/ath/ath9k/init.c:ath9k_init_channels_rates","drivers/net/wireless/ath/ath9k/common-init.c:ath9k_cmn_init_channels_rates","Yes","TP",False,64,582,""
"b60d105242ac457dab057f676c8aaa20d1821b10","MOVE_RENAME_FUNCTION","drivers/net/wireless/ath/ath9k/init.c:setup_ht_cap","drivers/net/wireless/ath/ath9k/common-init.c:ath9k_cmn_setup_ht_cap","Yes","TP",False,65,583,""
"6f817f4cda68b09621312ec5ba84217bc5e37b3d","MOVE_RENAME_FUNCTION","mm/memcontrol.c:memcg_update_cache_size","mm/slab_common.c:memcg_update_cache_params","No","TP",False,66,584,""
"b2172fdf702426cb4eba093b5504d0a0e9e59746","MOVE_RENAME_FUNCTION","builtin/tag.c:parse_opt_points_at","parse-options-cb.c:parse_opt_object_name","Yes","FN",False,67,"",""
"f950eb956092831730182daa7160eaa352277fa9","MOVE_RENAME_FUNCTION","setup.c:pathspec_prefix","dir.c:common_prefix","Yes","FN",False,68,"",""
"7fcdb36e29f9a5e779bc9e44cd69f8f69fac9426","MOVE_RENAME_FUNCTION","builtin-branch.c:has_commit","commit.c:is_descendant_of","Yes","TP",False,69,585,""
"9e197e2f894c0270ffabd314d73c7730b09ac63c","RENAME_FILE","drivers/misc/lkdtm.c","drivers/misc/lkdtm_core.c","Yes","TP",False,70,586,""
"464888410d3499708baf168bc52e13f18d0cf0ae","RENAME_FILE","drivers/staging/greybus/battery.c","drivers/staging/greybus/power_supply.c","Yes","TP",False,71,587,""
"4a5aa6682daeea7cd7cbbb47ce3e1c310e9261c2","RENAME_FILE","lib/curl_arpa_telnet.h","lib/arpa_telnet.h","Yes","TP",False,72,690,""
"99665af5c0be0fe4319b39183e84917993153576","RENAME_FILE","diff-tree-helper.c","diff-helper.c","Yes","TP",False,73,758,""
"ffd8e127e73d255f00e465649e0eec192226e6aa","RENAME_FILE","lib/amigaos.h","lib/curl_amigaos.h","Yes","TP",False,74,778,""
"11bc058ce66a437499a774e82398c96e1324e2e0","RENAME_FILE","replace_object.c","replace-object.c","Yes","TP",False,75,835,""
"fc1395f4a491a7da46a446233531005634eb979d","RENAME_FILE","sha1_file.c","sha1-file.c","Yes","TP",False,76,836,""
"58c4f0ac916d6b89c6faddd07c04759a61971a0c","RENAME_FILE","plugins/obs-ffmpeg/obs-ffmpeg-aac.c","plugins/obs-ffmpeg/obs-ffmpeg-audio-encoders.c","Yes","TP",False,77,837,""
"11b13507f06cfd476700a461fc2a3d002e799138","RENAME_FILE","swoole_http.c","swoole_http_server.c","Yes","TP",False,78,838,""
"0d5a27c2b5a1a2981f53aa5c093d1ddcc4ff472b","RENAME_FILE","libavformat/asfdec-o.c","libavformat/asfdec_o.c","Yes","TP",False,79,840,""
"254361c1890e67486cd957e9072e518b1c464e27","RENAME_FUNCTION","drivers/infiniband/hw/hfi1/chip.c:read_vc_local_link_width","drivers/infiniband/hw/hfi1/chip.c:read_vc_local_link_mode","Yes","FN",False,80,"",""
"611118d06ebba572424fa39473869eee1a1238fb","RENAME_FUNCTION","refs/files-backend.c:resolve_missing_loose_ref","refs/files-backend.c:resolve_packed_ref","Yes","TP",False,81,841,""
"ffeef642310f00bc43341bcb9eeadf06e0fd5904","RENAME_FUNCTION","refs/files-backend.c:ref_resolves_to_object","refs/files-backend.c:entry_resolves_to_object","Yes","TP",False,82,842,""
"ccfd57d100e9e6e81281af0d8659976efb5354d1","RENAME_FUNCTION","libobs-opengl/gl-shader.c:gs_shader_setmatrix3","libobs-opengl/gl-shader.c:gs_shader_set_matrix3","Yes","TP",False,83,844,""
"f4413ca65a2b5bf469df3a4ab05d965e5f59c91d","RENAME_FUNCTION","lib/endian.c:readshort_le","lib/endian.c:Curl_read16_le","Yes","TP",False,84,849,""
"7003b3ce21e0ddf9028e124fd9add5ac2319e112","RENAME_FUNCTION","refs.c:verify_refname_available","refs.c:verify_refname_available_dir","Yes","TP",False,85,854,""
"7b402245dcf42fe7ae3a2d34c6ae1b4d1d6892af","RENAME_FUNCTION","libobs/obs-source.c:obs_source_releaseframe","libobs/obs-source.c:obs_source_release_frame","Yes","TP",False,86,856,""
"5da35d1cb37fbaf0c6233955ec1934216d75a3bc","RENAME_FUNCTION","libavformat/mov.c:mov_metadata_stik","libavformat/mov.c:mov_metadata_int8_no_padding","Yes","TP",False,87,857,""
"aa33d8096ad480f8df8ddc60945f101f1846ef07","RENAME_FUNCTION","libavcodec/alac.c:sign_extended32","libavcodec/alac.c:extend_sign32","Yes","TP",False,88,858,""
"7aac453a03a2216fcda4f4d72ae4d2089a013bb3","RENAME_FUNCTION","fs/ceph/mds_client.c:drop_leases","fs/ceph/mds_client.c:lock_unlock_sessions","Yes","TP",False,89,859,""
