Commit URL,Rel. Type,Node before,Node After
https://github.com/meteor/meteor/commit/48947a46bf7204367dcd3294c93d55e2f36e01eb,RENAME,"node(""packages/test-helpers/test_events.js"", ""test_events.js"")","node(""packages/test-helpers/simulate_event.js"", ""simulate_event.js"")"
https://github.com/facebook/react-native/commit/369e30f6859bc6af2a97670217ba142691bd49d9,RENAME,"node(""Libraries/ReactNative/ReactNativeNativeComponent.js"", ""ReactNativeNativeComponent.js"")","node(""Libraries/ReactNative/ReactNativeBaseComponent.js"", ""ReactNativeBaseComponent.js"")"
https://github.com/meteor/meteor/commit/e710338a9490adbcfd0519d8dbfe1d3b34cb4ab9,RENAME,"node(""packages/livedata/stream_client.js"", ""stream_client.js"")","node(""packages/livedata/stream_client_sockjs.js"", ""stream_client_sockjs.js"")"
https://github.com/facebook/react/commit/48e54da484bc3416572fb48bc22d748a60ecd54f,RENAME,"node(""vendor/fbtransform/transforms/xjs.js"", ""xjs.js"")","node(""vendor/fbtransform/transforms/jsx.js"", ""jsx.js"")"
https://github.com/facebook/react/commit/366600d0b2b99ece8cd03d60e2a5454a02857502,RENAME,"node(""packages/react-dom/src/client/__tests__/dangerouslySetInnerHTML-test.js"", ""dangerouslySetInnerHTML-test.js"")","node(""packages/react-dom/src/client/__tests__/setInnerHTML-test.js"", ""setInnerHTML-test.js"")"
https://github.com/facebook/react-native/commit/c948ae81686e2345d155577b4ff9f43f50021e99,RENAME,"node(""packager/src/node-haste/index.js"", ""index.js"")","node(""packager/src/node-haste/DependencyGraph.js"", ""DependencyGraph.js"")"
https://github.com/webpack/webpack/commit/756f2ca1779fd9836412041cbc9baa7912d490ae,MOVE,"node(""test/configCases/plugins/dll-plugin/webpack.config.js"", ""webpack.config.js"")","node(""test/configCases/plugins/lib-manifest-plugin/webpack.config.js"", ""webpack.config.js"")"
https://github.com/vuejs/vue/commit/9bded22a83b6fb9a89a32009e7f47f6201e167a3,MOVE,"node(""test/weex/runtime/component/richtext.spec.js"", ""richtext.spec.js"")","node(""test/weex/runtime/components/richtext.spec.js"", ""richtext.spec.js"")"
https://github.com/facebook/react/commit/08ff3d749d353a5ef5daf9fea78c456c5ebd048e,MOVE,"node(""packages/react/src/classic/__tests__/ReactContextValidator-test.js"", ""ReactContextValidator-test.js"")","node(""packages/react/src/__tests__/ReactContextValidator-test.js"", ""ReactContextValidator-test.js"")"
https://github.com/facebook/react/commit/313611572b6567d229367ed20ff63d1bca8610bb,MOVE,"node(""packages/react-dom/src/shared/__tests__/CSSPropertyOperations-test.js"", ""CSSPropertyOperations-test.js"")","node(""packages/react-dom/src/__tests__/CSSPropertyOperations-test.js"", ""CSSPropertyOperations-test.js"")"
https://github.com/meteor/meteor/commit/6b1bb038d820cbb4a6a066990da12e4c70d6e68d,MOVE,"node(""tools/files.js"", ""files.js"")","node(""tools/fs/files.js"", ""files.js"")"
https://github.com/meteor/meteor/commit/8a8db83d298a932ed72157ee0162792d9f592cd9,MOVE,"node(""tools/mongo-exit-codes.js"", ""mongo-exit-codes.js"")","node(""tools/utils/mongo-exit-codes.js"", ""mongo-exit-codes.js"")"
https://github.com/reduxjs/redux/commit/acc10fac4bd381cbf143f9488ac886ed1475b19a,MOVE,"node(""src/decorators/root.js"", ""root.js"")","node(""src/addons/root.js"", ""root.js"")"
https://github.com/meteor/meteor/commit/39d8aef3d96c3f744e926f87ee05d67a8e2f58d5,MOVE,"node(""tools/selftest.js"", ""selftest.js"")","node(""tools/tool-testing/selftest.js"", ""selftest.js"")"
https://github.com/facebook/react/commit/6c885d28c51ea30af0d8a4031dedcea98ef4114c,MOVE,"node(""src/renderers/native/vendor/react/platform/NodeHandle.js"", ""NodeHandle.js"")","node(""src/renderers/native/NodeHandle/NodeHandle.js"", ""NodeHandle.js"")"
https://github.com/meteor/meteor/commit/f49de5b9ac20ffed0144ad2bbbc249faa2c1fe91,MOVE,"node(""tools/auth-client.js"", ""auth-client.js"")","node(""tools/meteor-services/auth-client.js"", ""auth-client.js"")"
https://github.com/webpack/webpack/commit/9156be961d890b9877ddef3a70964c9665662abb,MOVE_RENAME,"node(""lib/BaseWasmMainTemplatePlugin.js"", ""BaseWasmMainTemplatePlugin.js"")","node(""lib/wasm/WasmMainTemplatePlugin.js"", ""WasmMainTemplatePlugin.js"")"
https://github.com/facebook/react-native/commit/a50b4ea7b9ecc4c95a38b58f12a71b93ff3a3131,MOVE_RENAME,"node(""Libraries/Animated/Animated.js"", ""Animated.js"")","node(""Libraries/Animated/src/AnimatedImplementation.js"", ""AnimatedImplementation.js"")"
https://github.com/meteor/meteor/commit/4ad860ca47071c167281888e984f15ba987355bd,MOVE_RENAME,"node(""tools/shell/server.js"", ""server.js"")","node(""tools/server/shell-server.js"", ""shell-server.js"")"
