repository,commit,type,before,after
"git","ae2948f30c7de56e2805d26f78ea8205f6c98682","EXTRACT","{Function receive_needs() at upload-pack.c:727}","{Function process_shallow(char, object_array) at upload-pack.c:727})"
"git","ae2948f30c7de56e2805d26f78ea8205f6c98682","EXTRACT","{Function receive_needs() at upload-pack.c:727}","{Function process_deepen(char, int) at upload-pack.c:750})"
"FFmpeg","0a243bedec0ad51d0abf9585c5166a12d94d35d6","EXTRACT","{Function filter_frame(AVFilterLink, AVFrame) at libavfilter/vf_zscale.c:424}","{Function format_init(zimg_image_format, AVFrame, AVPixFmtDescriptor, int, int, int, int, int) at libavfilter/vf_zscale.c:424})"
"FFmpeg","e6114d21ac00f78f164c6755d51cc811d7286a26","INLINE","{Function get_integral_patch_value(uint32_t, int, int, int, int) at libavfilter/vf_nlmeans.c:132}","{Function nlmeans_slice(AVFilterContext, void, int, int) at libavfilter/vf_nlmeans.c:347})"
"linux","779e1aabb49e4f3749be659eb4edfe23db09a800","INLINE","{Function s35390a_set_datetime(i2c_client, rtc_time) at drivers/rtc/rtc-s35390a.c:213}","{Function s35390a_rtc_set_time(device, rtc_time) at drivers/rtc/rtc-s35390a.c:213})"
"linux","779e1aabb49e4f3749be659eb4edfe23db09a800","INLINE","{Function s35390a_read_alarm(i2c_client, rtc_wkalrm) at drivers/rtc/rtc-s35390a.c:332}","{Function s35390a_rtc_read_alarm(device, rtc_wkalrm) at drivers/rtc/rtc-s35390a.c:335})"
"linux","779e1aabb49e4f3749be659eb4edfe23db09a800","INLINE","{Function s35390a_get_datetime(i2c_client, rtc_time) at drivers/rtc/rtc-s35390a.c:244}","{Function s35390a_rtc_read_time(device, rtc_time) at drivers/rtc/rtc-s35390a.c:245})"
"linux","779e1aabb49e4f3749be659eb4edfe23db09a800","INLINE","{Function s35390a_set_alarm(i2c_client, rtc_wkalrm) at drivers/rtc/rtc-s35390a.c:277}","{Function s35390a_rtc_set_alarm(device, rtc_wkalrm) at drivers/rtc/rtc-s35390a.c:279})"
"linux","e2c8e1a9f7e52203c9a2712a2e35326d212ad5d7","INLINE","{Function m41t80_get_datetime(i2c_client, rtc_time) at drivers/rtc/rtc-m41t80.c:201}","{Function m41t80_rtc_read_time(device, rtc_time) at drivers/rtc/rtc-m41t80.c:201})"
"linux","e2c8e1a9f7e52203c9a2712a2e35326d212ad5d7","INLINE","{Function m41t80_set_datetime(i2c_client, rtc_time) at drivers/rtc/rtc-m41t80.c:236}","{Function m41t80_rtc_set_time(device, rtc_time) at drivers/rtc/rtc-m41t80.c:235})"
"linux","859a6ddbe5d95fa95a66247c290c2c266fe67bf8","INLINE","{Function max6900_i2c_read_time(i2c_client, rtc_time) at drivers/rtc/rtc-max6900.c:142}","{Function max6900_rtc_read_time(device, rtc_time) at drivers/rtc/rtc-max6900.c:142})"
"linux","859a6ddbe5d95fa95a66247c290c2c266fe67bf8","INLINE","{Function max6900_i2c_set_time(i2c_client, rtc_time) at drivers/rtc/rtc-max6900.c:168}","{Function max6900_rtc_set_time(device, rtc_time) at drivers/rtc/rtc-max6900.c:169})"
"git","753935749f21b10b306bc81559bba2912a7128a6","INLINE","{Function prepare_blame_range(scoreboard, char, long, long, long) at builtin/blame.c:1943}","{Function cmd_blame(int, char, char) at builtin/blame.c:2247})"
"ijkplayer","69d83f171bab980c648b6b0b6b752effea1d1e5c","MOVE","{File h264_sps_parser.h at ios/IJKMediaPlayer/IJKMediaPlayer/h264_sps_parser.h:1}","{File h264_sps_parser.h at ios/IJKMediaPlayer/IJKMediaPlayer/ijkmedia/ijkplayer/ios/pipeline/h264_sps_parser.h:1})"
"FFmpeg","c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE","{File avconv_vdpau.c at avconv_vdpau.c:1}","{File avconv_vdpau.c at avtools/avconv_vdpau.c:1})"
"FFmpeg","c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE","{File avconv_dxva2.c at avconv_dxva2.c:1}","{File avconv_dxva2.c at avtools/avconv_dxva2.c:1})"
"FFmpeg","c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE","{File avconv_qsv.c at avconv_qsv.c:1}","{File avconv_qsv.c at avtools/avconv_qsv.c:1})"
"FFmpeg","c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE","{File avconv.c at avconv.c:1}","{File avconv.c at avtools/avconv.c:1})"
"FFmpeg","c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE","{File avconv.h at avconv.h:1}","{File avconv.h at avtools/avconv.h:1})"
"FFmpeg","c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE","{File avprobe.c at avprobe.c:1}","{File avprobe.c at avtools/avprobe.c:1})"
"FFmpeg","c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE","{File cmdutils.c at cmdutils.c:1}","{File cmdutils.c at avtools/cmdutils.c:1})"
"FFmpeg","c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE","{File avconv_opt.c at avconv_opt.c:1}","{File avconv_opt.c at avtools/avconv_opt.c:1})"
