repository,commit,type,before,after
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","RENAME","{Function get_network_cost(network) at src/network.c:212}","{Function calc_network_cost(network) at src/network.c:202})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_shortcut_layer_gpu(layer, network_state) at src/shortcut_layer.c:61}","{Function backward_shortcut_layer_gpu(layer, network) at src/shortcut_layer.c:61})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_rnn_layer(layer, network_state) at src/rnn_layer.h:13}","{Function backward_rnn_layer(layer, network) at src/rnn_layer.h:13})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_local_layer(local_layer, network_state) at src/local_layer.h:24}","{Function backward_local_layer(local_layer, network) at src/local_layer.h:24})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_softmax_layer_gpu(softmax_layer, network_state) at src/softmax_layer.h:15}","{Function forward_softmax_layer_gpu(softmax_layer, network) at src/softmax_layer.h:15})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_rnn_layer_gpu(layer, network_state) at src/rnn_layer.c:197}","{Function forward_rnn_layer_gpu(layer, network) at src/rnn_layer.c:197})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_local_layer_gpu(local_layer, network_state) at src/local_layer.h:14}","{Function backward_local_layer_gpu(local_layer, network) at src/local_layer.h:14})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_normalization_layer(layer, network_state) at src/normalization_layer.c:65}","{Function forward_normalization_layer(layer, network) at src/normalization_layer.c:65})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_detection_layer(detection_layer, network_state) at src/detection_layer.c:49}","{Function forward_detection_layer(detection_layer, network) at src/detection_layer.c:49})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function test_detector(char, char, char, char, float, float) at src/detector.c:583}","{Function test_detector(char, char, char, char, float, float, char) at src/detector.c:583})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_activation_layer(layer, network_state) at src/activation_layer.c:44}","{Function backward_activation_layer(layer, network) at src/activation_layer.c:44})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_avgpool_layer(avgpool_layer, network_state) at src/avgpool_layer.c:40}","{Function forward_avgpool_layer(avgpool_layer, network) at src/avgpool_layer.c:40})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_shortcut_layer(layer, network_state) at src/shortcut_layer.c:39}","{Function forward_shortcut_layer(layer, network) at src/shortcut_layer.c:39})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_cost_layer(cost_layer, network_state) at src/cost_layer.h:11}","{Function forward_cost_layer(cost_layer, network) at src/cost_layer.h:11})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_dropout_layer(dropout_layer, network_state) at src/dropout_layer.c:38}","{Function forward_dropout_layer(dropout_layer, network) at src/dropout_layer.c:38})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_batchnorm_layer(layer, network_state) at src/batchnorm_layer.c:161}","{Function backward_batchnorm_layer(layer, network) at src/batchnorm_layer.c:161})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_detection_layer(detection_layer, network_state) at src/detection_layer.h:11}","{Function backward_detection_layer(detection_layer, network) at src/detection_layer.h:11})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_gru_layer_gpu(layer, network_state) at src/gru_layer.c:303}","{Function backward_gru_layer_gpu(layer, network) at src/gru_layer.c:303})"
